LFQ intensity MCI_003,LFQ intensity MCI_154,LFQ intensity MCI_242,LFQ intensity MCI_219,LFQ intensity MCI_068,LFQ intensity CTRL_019,LFQ intensity CTRL_275,LFQ intensity CTRL_375,LFQ intensity CTRL_351,LFQ intensity CTRL_111,LFQ intensity AD_214,LFQ intensity AD_082,LFQ intensity AD_075,LFQ intensity AD_078,LFQ intensity AD_059,Protein IDs,Protein names,Gene names,Fasta headers
MCI,MCI,MCI,MCI,MCI,CTRL,CTRL,CTRL,CTRL,CTRL,AD,AD,AD,AD,AD,,,,
0,0,0,0,0,44996220,30006964,0,0,47520476,0,0,0,0,0,A0A075B6I0,,IGLV8-61,sp|A0A075B6I0|LV861_HUMAN Immunoglobulin lambda variable 8-61 OS=Homo sapiens OX=9606 GN=IGLV8-61 PE=3 SV=7
26644624,35801844,284748224,31705150,52793100,24117732,0,42690388,8269074.5,40105296,0,0,0,0,0,A0A075B6I9,Ig lambda chain V region 4A,IGLV7-46,sp|A0A075B6I9|LV746_HUMAN Immunoglobulin lambda variable 7-46 OS=Homo sapiens OX=9606 GN=IGLV7-46 PE=3 SV=4;sp|P04211|LV743_HUMAN Immunoglobulin lambda variable 7-43 OS=Homo sapiens OX=9606 GN=IGLV7-43 PE=3 SV=2
30412972,0,0,0,0,26902634,17662212,19753522,15666207,44829652,0,0,0,0,0,A0A075B6K4,Ig lambda chain V-IV region Bau,IGLV3-10,sp|A0A075B6K4|LV310_HUMAN Immunoglobulin lambda variable 3-10 OS=Homo sapiens OX=9606 GN=IGLV3-10 PE=3 SV=2;sp|P01715|LV301_HUMAN Immunoglobulin lambda variable 3-1 OS=Homo sapiens OX=9606 GN=IGLV3-1 PE=1 SV=2
0,91443760,0,88143472,0,142399744,156503424,149858496,115374472,93681432,0,0,0,0,0,A0A075B6P5,Ig kappa chain V-II region FR;Ig kappa chain V-II region Cum,IGKV2D-28;IGKV2-40;IGKV2D-30,sp|A0A075B6P5|KV228_HUMAN Immunoglobulin kappa variable 2-28 OS=Homo sapiens OX=9606 GN=IGKV2-28 PE=3 SV=1;sp|A0A087WW87|KV240_HUMAN Immunoglobulin kappa variable 2-40 OS=Homo sapiens OX=9606 GN=IGKV2-40 PE=3 SV=2;sp|P01615|KVD28_HUMAN Immunoglobulin kappa
115759280,0,0,87968800,0,229073840,108598744,104386424,0,157927856,0,0,0,0,0,A0A0A0MRZ8,Ig kappa chain V-III region VG,IGKV3D-11,sp|A0A0A0MRZ8|KVD11_HUMAN Immunoglobulin kappa variable 3D-11 OS=Homo sapiens OX=9606 GN=IGKV3D-11 PE=3 SV=6;sp|P04433|KV311_HUMAN Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1
11122369,0,28178996,7861957,15562426,41314596,11162975,0,4709444,12678745,10243903,0,4921616.5,8137810.5,0,A0A0A0MS15,,IGHV3-49,sp|A0A0A0MS15|HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1
15791572,25656164,81562840,17556056,0,23640400,0,0,0,31418374,41035644,0,0,18092984,0,A0A0B4J1U7,,IGHV6-1,sp|A0A0B4J1U7|HV601_HUMAN Immunoglobulin heavy variable 6-1 OS=Homo sapiens OX=9606 GN=IGHV6-1 PE=3 SV=1
15351844,0,24216108,0,0,64943960,0,43758996,0,15101009,0,10995146,0,0,0,A0A0B4J1V0,,IGHV3-15,sp|A0A0B4J1V0|HV315_HUMAN Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=3 SV=1
0,452459808,221175248,0,170010112,259783184,251848112,209180512,85187648,35501112,0,105529112,0,0,0,A0A0B4J1X5,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL,IGHV3-74;IGHV3-66,sp|A0A0B4J1X5|HV374_HUMAN Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=3 SV=1;sp|A0A0C4DH42|HV366_HUMAN Immunoglobulin heavy variable 3-66 OS=Homo sapiens OX=9606 GN=IGHV3-66 PE=3 SV=1;sp|P0DP02|HVC33_HUMAN Immunoglobulin heavy
